INFO: [2023-11-24 22:31:35] genewalk.deepwalk - Walks for 2900/43209 nodes complete in 36.00s
INFO: [2023-11-24 22:31:37] genewalk.deepwalk - Walks for 3000/43209 nodes complete in 37.08s
INFO: [2023-11-24 22:31:37] genewalk.deepwalk - Walks for 3100/43209 nodes complete in 37.56s
INFO: [2023-11-24 22:31:38] genewalk.deepwalk - Walks for 3200/43209 nodes complete in 38.17s
INFO: [2023-11-24 22:31:39] genewalk.deepwalk - Walks for 3300/43209 nodes complete in 39.56s
INFO: [2023-11-24 22:31:40] genewalk.deepwalk - Walks for 3400/43209 nodes complete in 40.34s
INFO: [2023-11-24 22:31:41] genewalk.deepwalk - Walks for 3500/43209 nodes complete in 41.09s
INFO: [2023-11-24 22:31:42] genewalk.deepwalk - Walks for 3600/43209 nodes complete in 42.12s
INFO: [2023-11-24 22:31:42] genewalk.deepwalk - Walks for 3700/43209 nodes complete in 42.79s
INFO: [2023-11-24 22:31:44] genewalk.deepwalk - Walks for 3800/43209 nodes complete in 44.58s
INFO: [2023-11-24 22:31:45] genewalk.deepwalk - Walks for 3900/43209 nodes complete in 45.13s
INFO: [2023-11-24 22:31:45] genewalk.deepwalk - Walks for 4000/43209 nodes complete in 45.62s
INFO: [2023-11-24 22:31:46] genewalk.deepwalk - Walks for 4100/43209 nodes complete in 46.27s
INFO: [2023-11-24 22:31:46] genewalk.deepwalk - Walks for 4200/43209 nodes complete in 46.78s
INFO: [2023-11-24 22:31:47] genewalk.deepwalk - Walks for 4300/43209 nodes complete in 47.07s
INFO: [2023-11-24 22:31:47] genewalk.deepwalk - Walks for 4400/43209 nodes complete in 47.37s
INFO: [2023-11-24 22:31:47] genewalk.deepwalk - Walks for 4500/43209 nodes complete in 47.67s
INFO: [2023-11-24 22:31:48] genewalk.deepwalk - Walks for 4600/43209 nodes complete in 48.51s
INFO: [2023-11-24 22:31:49] genewalk.deepwalk - Walks for 4700/43209 nodes complete in 49.27s
INFO: [2023-11-24 22:31:49] genewalk.deepwalk - Walks for 4800/43209 nodes complete in 49.97s
INFO: [2023-11-24 22:31:50] genewalk.deepwalk - Walks for 4900/43209 nodes complete in 50.55s
INFO: [2023-11-24 22:31:50] genewalk.deepwalk - Walks for 5000/43209 nodes complete in 50.80s
INFO: [2023-11-24 22:31:51] genewalk.deepwalk - Walks for 5100/43209 nodes complete in 51.10s
INFO: [2023-11-24 22:31:51] genewalk.deepwalk - Walks for 5200/43209 nodes complete in 51.45s
INFO: [2023-11-24 22:31:51] genewalk.deepwalk - Walks for 5300/43209 nodes complete in 52.03s
INFO: [2023-11-24 22:31:52] genewalk.deepwalk - Walks for 5400/43209 nodes complete in 52.40s
INFO: [2023-11-24 22:31:53] genewalk.deepwalk - Walks for 5500/43209 nodes complete in 53.41s
INFO: [2023-11-24 22:31:54] genewalk.deepwalk - Walks for 5600/43209 nodes complete in 54.85s
INFO: [2023-11-24 22:31:55] genewalk.deepwalk - Walks for 5700/43209 nodes complete in 55.26s
INFO: [2023-11-24 22:31:55] genewalk.deepwalk - Walks for 5800/43209 nodes complete in 55.90s
INFO: [2023-11-24 22:31:56] genewalk.deepwalk - Walks for 5900/43209 nodes complete in 56.63s
INFO: [2023-11-24 22:31:56] genewalk.deepwalk - Walks for 6000/43209 nodes complete in 57.02s
INFO: [2023-11-24 22:31:57] genewalk.deepwalk - Walks for 6100/43209 nodes complete in 58.01s
INFO: [2023-11-24 22:31:58] genewalk.deepwalk - Walks for 6200/43209 nodes complete in 58.26s
INFO: [2023-11-24 22:31:58] genewalk.deepwalk - Walks for 6300/43209 nodes complete in 58.52s
INFO: [2023-11-24 22:31:58] genewalk.deepwalk - Walks for 6400/43209 nodes complete in 58.85s
INFO: [2023-11-24 22:31:59] genewalk.deepwalk - Walks for 6500/43209 nodes complete in 59.15s
INFO: [2023-11-24 22:31:59] genewalk.deepwalk - Walks for 6600/43209 nodes complete in 59.46s
INFO: [2023-11-24 22:32:00] genewalk.deepwalk - Walks for 6700/43209 nodes complete in 60.09s
INFO: [2023-11-24 22:32:00] genewalk.deepwalk - Walks for 6800/43209 nodes complete in 60.56s
INFO: [2023-11-24 22:32:00] genewalk.deepwalk - Walks for 6900/43209 nodes complete in 60.85s
INFO: [2023-11-24 22:32:01] genewalk.deepwalk - Walks for 7000/43209 nodes complete in 61.24s
INFO: [2023-11-24 22:32:01] genewalk.deepwalk - Walks for 7100/43209 nodes complete in 61.81s
INFO: [2023-11-24 22:32:02] genewalk.deepwalk - Walks for 7200/43209 nodes complete in 62.65s
INFO: [2023-11-24 22:32:03] genewalk.deepwalk - Walks for 7300/43209 nodes complete in 63.52s
INFO: [2023-11-24 22:32:04] genewalk.deepwalk - Walks for 7400/43209 nodes complete in 64.06s
