"."
"159"	"MGI:MGI:2176380"
"160"	"MGI:MGI:96602"
"161"	"MGI:MGI:2443977"
"162"	"MGI:MGI:88158"
"163"	"MGI:MGI:94866"
"164"	"MGI:MGI:1919260"
"165"	"MGI:MGI:1336879"
"166"	"MGI:MGI:87890"
"167"	"MGI:MGI:1913451"
"168"	"MGI:MGI:104596"
"169"	"MGI:MGI:107825"
"170"	"MGI:MGI:1915274"
"171"	"MGI:MGI:1100537"
"172"	"MGI:MGI:1930943"
"173"	"MGI:MGI:1338755"
"174"	"MGI:MGI:893580"
"175"	"MGI:MGI:2388637"
"176"	"MGI:MGI:3040696"
"177"	"MGI:MGI:95636"
"178"	"MGI:MGI:3034182"
"179"	"MGI:MGI:96298"
"180"	"MGI:MGI:2180849"
"181"	"MGI:MGI:1925584"
"182"	"MGI:MGI:88467"
"183"	"MGI:MGI:109278"
"184"	"MGI:MGI:2145269"
"185"	"MGI:MGI:3028579"
"186"	"MGI:MGI:107537"
"187"	"MGI:MGI:107946"
"188"	"MGI:MGI:1340046"
"189"	"MGI:MGI:2663253"
"190"	"MGI:MGI:88456"
"191"	"MGI:MGI:2442446"
"192"	"MGI:MGI:1889506"
"193"	"MGI:MGI:2685420"
"194"	"MGI:MGI:1349645"
"195"	"MGI:MGI:2153093"
"196"	"MGI:MGI:1347054"
"197"	"MGI:MGI:2444070"
"198"	"MGI:MGI:1914103"
"199"	"MGI:MGI:1933966"
"200"	"MGI:MGI:5011037"
"201"	"MGI:MGI:2685466"
"202"	"MGI:MGI:105307"
"203"	"MGI:MGI:2387863"
"204"	"MGI:MGI:96055"
"205"	"MGI:MGI:1346060"
"206"	"MGI:MGI:1915978"
"207"	"MGI:MGI:2137353"
"208"	"MGI:MGI:1918988"
"209"	"MGI:MGI:2441702"
"210"	"MGI:MGI:1926375"
"211"	"MGI:MGI:1859016"
"212"	"MGI:MGI:3712219"
"213"	"MGI:MGI:102935"
"214"	"MGI:MGI:94906"
"215"	"MGI:MGI:2661430"
"216"	"MGI:MGI:2384860"
"217"	"MGI:MGI:2140371"
"218"	"MGI:MGI:109562"
"219"	"MGI:MGI:2448425"
"220"	"MGI:MGI:1920717"
"221"	"MGI:MGI:1347244"
"222"	"MGI:MGI:96439"
"223"	"MGI:MGI:105062"
"224"	"MGI:MGI:1928745"
"225"	"MGI:MGI:3027157"
"226"	"MGI:MGI:1921241"
"227"	"MGI:MGI:1917631"
"228"	"MGI:MGI:2449973"
"229"	"MGI:MGI:1914470"
"230"	"MGI:MGI:3651543"
"231"	"MGI:MGI:1919347"
"232"	"MGI:MGI:1914515"
"233"	"MGI:MGI:1921591"
"234"	"MGI:MGI:2179523"
"235"	"MGI:MGI:88342"
"236"	"MGI:MGI:1915485"
"237"	"MGI:MGI:1919148"
"238"	"MGI:MGI:2444572"
"239"	"MGI:MGI:2683546"
"240"	"MGI:MGI:2686058"
"241"	"MGI:MGI:2444054"
"242"	"MGI:MGI:88348"
"243"	"MGI:MGI:96551"
"244"	"MGI:MGI:2385204"
"245"	"MGI:MGI:88155"
"246"	"MGI:MGI:2445094"
"247"	"MGI:MGI:1919248"
"248"	"MGI:MGI:2145458"
"249"	"MGI:MGI:1915737"
"250"	"MGI:MGI:95558"
"251"	"MGI:MGI:1916948"
"252"	"MGI:MGI:109297"
"253"	"MGI:MGI:1925114"
"254"	"MGI:MGI:1354963"
"255"	"MGI:MGI:2135679"
"256"	"MGI:MGI:2385305"
"257"	"MGI:MGI:1933213"
"258"	"MGI:MGI:2444223"
"259"	"MGI:MGI:1330344"
"260"	"MGI:MGI:1918730"
"261"	"MGI:MGI:2145236"
"262"	"MGI:MGI:1351318"
"263"	"MGI:MGI:3645933"
"264"	"MGI:MGI:1933155"
"265"	"MGI:MGI:1347248"
"266"	"MGI:MGI:1933146"
"267"	NA
"268"	"MGI:MGI:1922541"
"269"	"MGI:MGI:1351655"
"270"	"MGI:MGI:2442798"
"271"	"MGI:MGI:1916846"
"272"	"MGI:MGI:1919091"
"273"	"MGI:MGI:2146009"
"274"	"MGI:MGI:2144766"
"275"	"MGI:MGI:109628"
"276"	"MGI:MGI:2679732"
"277"	"MGI:MGI:2443880"
"278"	"MGI:MGI:1201782"
"279"	"MGI:MGI:894672"
"280"	"MGI:MGI:1933754"
"281"	"MGI:MGI:1098272"
"282"	"MGI:MGI:1891703"
"283"	"MGI:MGI:101918"
"284"	"MGI:MGI:1928330"
"285"	"MGI:MGI:109277"
"286"	"MGI:MGI:1923437"
"287"	"MGI:MGI:1351469"
"288"	"MGI:MGI:1341839"
"289"	"MGI:MGI:1338888"
"290"	"MGI:MGI:96650"
"291"	"MGI:MGI:96756"
"292"	"MGI:MGI:1920431"
"293"	"MGI:MGI:1913461"
"294"	"MGI:MGI:1913650"
"295"	"MGI:MGI:1919147"
"296"	"MGI:MGI:1338033"
"297"	"MGI:MGI:88111"
"298"	"MGI:MGI:1201606"
"299"	"MGI:MGI:3652325"
"300"	"MGI:MGI:1930153"
"301"	"MGI:MGI:95832"
"302"	"MGI:MGI:1859631"
"303"	"MGI:MGI:3646642"
"304"	"MGI:MGI:2144423"
"305"	"MGI:MGI:2146908"
"306"	"MGI:MGI:95568"
"307"	"MGI:MGI:2685619"
"308"	"MGI:MGI:1201781"
"309"	"MGI:MGI:1100869"
"310"	"MGI:MGI:2442042"
"311"	"MGI:MGI:87885"
"312"	"MGI:MGI:1353450"
"313"	"MGI:MGI:1924183"
"314"	"MGI:MGI:1321396"
"315"	"MGI:MGI:96108"
"316"	"MGI:MGI:103100"
"317"	"MGI:MGI:3704503"
"318"	"MGI:MGI:1917084"
"319"	"MGI:MGI:1917120"
"320"	"MGI:MGI:109424"
"321"	"MGI:MGI:2136890"
"322"	"MGI:MGI:1346052"
"323"	"MGI:MGI:2444579"
"324"	"MGI:MGI:1927899"
"325"	"MGI:MGI:1929693"
"326"	"MGI:MGI:1309468"
"327"	"MGI:MGI:1917074"
"328"	"MGI:MGI:2448419"
"329"	"MGI:MGI:1914674"
"330"	"MGI:MGI:1916202"
"331"	"MGI:MGI:2146001"
"332"	"MGI:MGI:1915161"
"333"	"MGI:MGI:3608325"
"334"	"MGI:MGI:2670958"
"335"	"MGI:MGI:1891708"
"336"	"MGI:MGI:2444467"
"337"	"MGI:MGI:2448355"
"338"	"MGI:MGI:1921298"
"339"	"MGI:MGI:3043305"
"340"	"MGI:MGI:88476"
"341"	"MGI:MGI:1916579"
"342"	"MGI:MGI:95487"
"343"	"MGI:MGI:1926022"
"344"	"MGI:MGI:1922014"
"345"	"MGI:MGI:2444031"
"346"	"MGI:MGI:3652174"
"347"	"MGI:MGI:105933"
"348"	"MGI:MGI:2687194"
"349"	"MGI:MGI:4868370"
"350"	"MGI:MGI:2673874"
"351"	"MGI:MGI:1917016"
"352"	"MGI:MGI:2145349"
"353"	"MGI:MGI:3845075"
"354"	"MGI:MGI:109271"
"355"	"MGI:MGI:1924116"
"356"	"MGI:MGI:1353451"
"357"	"MGI:MGI:1347344"
"358"	"MGI:MGI:103253"
"359"	"MGI:MGI:2139434"
"360"	"MGI:MGI:97362"
"361"	"MGI:MGI:1914682"
"362"	"MGI:MGI:1351872"
"363"	"MGI:MGI:2685055"
"364"	"MGI:MGI:3800544"
"365"	"MGI:MGI:3704410"
"366"	"MGI:MGI:95484"
"367"	"MGI:MGI:104808"
