"78","REACTOME_NEDDYLATION"
"79","REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING"
"80","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"81","REACTOME_NEUTROPHIL_DEGRANULATION"
"82","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS"
"83","REACTOME_NONSENSE_MEDIATED_DECAY_NMD"
"84","REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS"
"85","REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN"
"86","REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN"
"87","REACTOME_ORC1_REMOVAL_FROM_CHROMATIN"
"88","REACTOME_PERK_REGULATES_GENE_EXPRESSION"
"89","REACTOME_POSTMITOTIC_NUCLEAR_PORE_COMPLEX_NPC_REFORMATION"
"90","REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA"
"91","REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA"
"92","REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS"
"93","REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF"
"94","REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS"
"95","REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY"
"96","REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS"
"97","REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY"
"98","REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION"
"99","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS"
"100","REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY"
"101","REACTOME_RHO_GTPASES_ACTIVATE_FORMINS"
"102","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION"
"103","REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION"
"104","REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES"
"105","REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL"
"106","REACTOME_RRNA_PROCESSING"
"107","REACTOME_S_PHASE"
"108","REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21"
"109","REACTOME_SELENOAMINO_ACID_METABOLISM"
"110","REACTOME_SEPARATION_OF_SISTER_CHROMATIDS"
"111","REACTOME_SIGNALING_BY_PDGF"
"112","REACTOME_SIGNALING_BY_ROBO_RECEPTORS"
"113","REACTOME_SNRNP_ASSEMBLY"
"114","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE"
"115","REACTOME_STABILIZATION_OF_P53"
"116","REACTOME_SUMOYLATION"
"117","REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS"
"118","REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS"
"119","REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS"
"120","REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS"
"121","REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE"
"122","REACTOME_SYNDECAN_INTERACTIONS"
"123","REACTOME_SYNTHESIS_OF_DNA"
"124","REACTOME_TCR_SIGNALING"
"125","REACTOME_TELOMERE_MAINTENANCE"
"126","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"127","REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT"
"128","REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY"
"129","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS"
"130","REACTOME_TRANSLATION"
"131","REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS"
"132","REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM"
"133","REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA"
"134","REACTOME_TRNA_PROCESSING"
"135","REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS"
"136","REACTOME_UCH_PROTEINASES"
