"","fgsea.Geneset"
"113","KEGG_GLUTATHIONE_METABOLISM"
"114","KEGG_GLYCEROLIPID_METABOLISM"
"115","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"116","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM"
"117","KEGG_GLYCOLYSIS_GLUCONEOGENESIS"
"118","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE"
"119","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE"
"120","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE"
"121","KEGG_GLYCOSAMINOGLYCAN_DEGRADATION"
"122","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES"
"123","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES"
"124","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES"
"125","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS"
"126","KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM"
"127","KEGG_GNRH_SIGNALING_PATHWAY"
"128","KEGG_GRAFT_VERSUS_HOST_DISEASE"
"129","KEGG_HEDGEHOG_SIGNALING_PATHWAY"
"130","KEGG_HEMATOPOIETIC_CELL_LINEAGE"
"131","KEGG_HISTIDINE_METABOLISM"
"132","KEGG_HOMOLOGOUS_RECOMBINATION"
"133","KEGG_HUNTINGTONS_DISEASE"
"134","KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM"
"135","KEGG_INOSITOL_PHOSPHATE_METABOLISM"
"136","KEGG_INSULIN_SIGNALING_PATHWAY"
"137","KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"
"138","KEGG_JAK_STAT_SIGNALING_PATHWAY"
"139","KEGG_LEISHMANIA_INFECTION"
"140","KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION"
"141","KEGG_LIMONENE_AND_PINENE_DEGRADATION"
"142","KEGG_LINOLEIC_ACID_METABOLISM"
"143","KEGG_LONG_TERM_DEPRESSION"
"144","KEGG_LONG_TERM_POTENTIATION"
"145","KEGG_LYSINE_DEGRADATION"
"146","KEGG_LYSOSOME"
"147","KEGG_MAPK_SIGNALING_PATHWAY"
"148","KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG"
"149","KEGG_MELANOGENESIS"
"150","KEGG_MELANOMA"
"151","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"
"152","KEGG_MISMATCH_REPAIR"
"153","KEGG_MTOR_SIGNALING_PATHWAY"
"154","KEGG_N_GLYCAN_BIOSYNTHESIS"
"155","KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY"
"156","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"
"157","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY"
"158","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM"
"159","KEGG_NITROGEN_METABOLISM"
"160","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY"
"161","KEGG_NON_HOMOLOGOUS_END_JOINING"
"162","KEGG_NON_SMALL_CELL_LUNG_CANCER"
"163","KEGG_NOTCH_SIGNALING_PATHWAY"
"164","KEGG_NUCLEOTIDE_EXCISION_REPAIR"
"165","KEGG_O_GLYCAN_BIOSYNTHESIS"
"166","KEGG_OLFACTORY_TRANSDUCTION"
"167","KEGG_ONE_CARBON_POOL_BY_FOLATE"
"168","KEGG_OOCYTE_MEIOSIS"
"169","KEGG_OTHER_GLYCAN_DEGRADATION"
"170","KEGG_OXIDATIVE_PHOSPHORYLATION"
"171","KEGG_P53_SIGNALING_PATHWAY"
"172","KEGG_PANCREATIC_CANCER"
"173","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS"
"174","KEGG_PARKINSONS_DISEASE"
"175","KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION"
"176","KEGG_PATHWAYS_IN_CANCER"
"177","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS"
"178","KEGG_PENTOSE_PHOSPHATE_PATHWAY"
"179","KEGG_PEROXISOME"
"180","KEGG_PHENYLALANINE_METABOLISM"
"181","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM"
